public-global-fishing-effort-v20231026
Latitude,Longitude,Time Range,MMSI,Entry Timestamp,Exit Timestamp,Apparent Fishing Hours
18.300000,117.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448822,2024-03-30T04:00:00Z,2024-04-25T12:00:00Z,1.03
18.300000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412442508,2024-03-03T12:00:00Z,2024-04-25T12:00:00Z,2.65
19.000000,118.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412442508,2024-03-03T12:00:00Z,2024-04-25T12:00:00Z,20.55
21.200000,117.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412442508,2024-03-03T12:00:00Z,2024-04-25T12:00:00Z,1.00
23.100000,118.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444802,2024-01-03T06:00:00Z,2024-02-14T23:00:00Z,12.55
19.100000,117.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448638,2024-03-04T20:00:00Z,2024-04-19T16:00:00Z,3.47
21.700000,116.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444907,2024-01-13T15:00:00Z,2024-04-29T15:00:00Z,16.55
23.000000,118.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412489173,2024-01-10T12:00:00Z,2024-05-11T08:00:00Z,6.56
21.500000,117.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451756,2024-02-21T11:00:00Z,2024-04-25T14:00:00Z,9.03
21.100000,115.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451951,2024-01-01T08:00:00Z,2024-04-24T03:00:00Z,19.88
18.100000,116.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449003,2024-03-03T11:00:00Z,2024-04-22T18:00:00Z,0.30
